Product ID,SKU,Barcode,Product Name,Brand,Product Category,Product Subcategory,Unit of Measure,Product Status,Warehouse,Warehouse Code,Bin Location,Aisle,Shelf,Batch Number,Lot Number,Quantity On Hand,Quantity Reserved,Available Quantity,Reorder Level,Safety Stock,Maximum Stock Level,Supplier ID,Supplier Name,Supplier Country,Lead Time (Days),Last Purchase Date,Unit Cost,Selling Price,Inventory Value,Currency,Last Stock Movement Date,Last Restock Date,Expiry Date,Stock Status,Reorder Required
PRD-02637,SAM-AUD-0078,3740685964652,Samsung Galaxy Buds2,Samsung,Audio Equipment,Speakers,Each,Active,Port Harcourt Distribution Centre,PHC-DC,A-27-S8,A,S8,BT-682581,LOT-C3659,0,0,0,100,50,600,SUP-1003,Slot Systems Limited,Nigeria,7,2025-10-08,168181.23,219321.11,0.0,NGN,2026-05-18,2025-10-15,,Out of Stock,Yes
PRD-02067,HP-CLN-0051,2489801476898,  HP Electronics Cleaning Wipes  ,HP,Cleaning Supplies,Vacuum,Each,Active,Abuja Regional Warehouse,ABJ-RW,E-32-S1,E,S1,BT-490743,LOT-B5188,0,0,0,30,15,180,SUP-1010,Dubai Source Electronics,United Arab Emirates,20,2025-02-11,107575.86,153247.89,0.0,NGN,2026-05-04,2025-02-12,2026-08-26,Out of Stock,Yes
PRD-01021,DEL-LAP-0020,4926748762965,Dell Vostro 3520,dell,Laptops,Business Laptops,Each,Active,Lagos Distribution Centre,LAG-DC,H-37-S1,H,S1,BT-639858,LOT-A4843,502,182,320,75,22,750,SUP-1011,Tech Distributors UK Ltd,United Kingdom,32,2025-10-22,806375.77,1187818.31,404800636.54,NGN,2026-06-27,2025-10-25,,In Stock,No
PRD-00206,SAM-STO-0007,6462879232648,Samsung T7 Portable SSD 1TB,Samsung,Storage Devices,External Storage,Each,Active,Lagos Distribution Centre,LAG-DC,F-38-S2,F,S2,BT-892843,LOT-A7156,137,8,129,30,9,240,SUP-1008,Pamtech Group,Nigeria,8,2025-02-08,35387.75,43637.11,4848121.75,NGN,2026-05-27,2025-02-22,,In Stock,No
PRD-01896,LOG-FUR-0048,6964938268313,Logitech Desk Mat,Logitech,Office Furniture,Desk Accessories,Each,Active,Abuja Regional Warehouse,ABJ-RW,B-35-S3,B,S3,BT-241029,LOT-B4216,72,1,71,30,15,120,SUP-1010,Dubai Source Electronics,United Arab Emirates,17,2026-03-21,210887.07,293295.52,15183869.04,NGN,2026-06-24,2026-04-05,,In Stock,No
PRD-03176,LEN-MOB-0097,0164527352901,Lenovo Tab P11,Lenovo,Mobile Phones,Smartphones,Each,Active,Port Harcourt Distribution Centre,PHC-DC,G-18-S2,G,S2,BT-494585,LOT-C8221,37,1,36,40,20,320,SUP-1003,Slot Systems Limited,Nigeria,6,2025-10-04,326113.03,432818.93,12066182.11,NGN,2026-05-17,2025-10-09,,Low Stock,Yes
PRD-00417,BRO-SUP-0011,6074555347057,  Brother Label Tape TZe-231  ,Brother,Office Supplies,Labels,Pack,Active,Lagos Distribution Centre,LAG-DC,D-02-S3,D,S3,BT-761149,LOT-A6389,163,58,105,50,25,200,SUP-1008,Pamtech Group,Nigeria,10,2025-03-24,24717.53,37720.9,4028957.39,NGN,2026-05-02,2025-04-04,2026-04-26,In Stock,No
PRD-00895,PHI-AUD-0018,5580957947581,Philips SPA20 Speakers,Philips,Audio Equipment,Earbuds,Each,Active,Lagos Distribution Centre,LAG-DC,F-16-S3,F,S3,BT-251589,LOT-A9788,113,40,73,30,9,150,SUP-1006,Shenzhen Globex Electronics,China,35,2025-05-22,27998.75,38178.73,3163858.75,NGN,2026-06-16,2025-05-30,,In Stock,No
PRD-00845,LEN-LAP-0022,1681636038917,Lenovo ThinkPad X1 Carbon,Lenovo,Laptops,Business Laptops,Each,Active,Lagos Distribution Centre,LAG-DC,D-03-S3,D,S3,BT-908397,LOT-A4227,-4,9,29,,7,150,SUP-1002,YUDALA TECH SUPPLIES,Nigeria,4,2025-12-18,353068.11,439219.75,13416588.18,NGN,2026-05-10,2025-12-24,,In Stock,No
PRD-01225,BRO-SUP-0039,5155782638803,Brother Label Tape TZe-231,Brother,Office Supplies,Paper Products,Pack,Active,Abuja Regional Warehouse,ABJ-RW,C-18-S3,C,S3,BT-906676,LOT-B6259,33,6,27,10,3,60,SUP-1003,,Nigeria,7,2026-01-06,12744.41,15709.11,420565.53,NGN,2026-06-10,2026-01-10,2027-12-29,In Stock,No
PRD-02910,DEL-LAP-0066,6256654819011,Dell Inspiron 15 3520,Dell,Laptops,Consumer Laptops,Each,Active,Port Harcourt Distribution Centre,PHC-DC,C-39-S7,C,S7,BT-145628,LOT-C6938,105,13,92,15,7,150,SUP-1009,Westgate Technologies,Nigeria,7,2025-05-07,804047.36,1115320.95,84424972.8,NGN,2026-05-25,2025-05-11,,In Stock,No
PRD-02563,MSF-FUR-0064,,Microsoft Adjustable Desk Riser,Microsoft,Office Furniture,Desks,Each,Active,Port Harcourt Distribution Centre,PHC-DC,,F,S7,BT-119352,LOT-C8603,37,0,37,15,6,90,SUP-1006,Shenzhen Globex Electronics,China,36,2026-03-21,118890.43,144852.37,4398945.91,NGN,2026-06-21,2026-03-31,,In Stock,No
PRD-01054,DEL-LAP-0023,8682784726439,Dell Vostro 3520,Dell,Laptops,Business Laptops,Each,Active,Lagos Distribution Centre,LAG-DC,C-09-S9,C,S9,BT-226796,LOT-A4482,51,14,37,50,20,300,SUP-1006,Shenzhen Globex Electronics,China,38,2026-01-02,496212.29,740310.49,25306826.79,NGN,2026-05-05,2026-01-04,,In Stock,No
PRD-02371,LEN-MOB-0071,5835348584255,Lenovo Tab P11,Lenovo,Mobile Phones,Tablets,Each,Discontinued,Port Harcourt Distribution Centre,PHC-DC,G-05-S4,G,S4,BT-470322,LOT-C1103,5,2,3,40,12,160,SUP-1006,Shenzhen Globex Electronics,China,38,2026-06-07,149668.01,184391.87,748340.05,NGN,2026-06-07,2026-06-09,,Low Stock,Yes
PRD-03370,SAM-MOB-0112,5653123415775,Samsung Galaxy S23,Samsung,Mobile Phones,Smartphones,Each,Active,Port Harcourt Distribution Centre,PHC-DC,C-33-S9,C,S9,BT-528486,LOT-C2508,155,14,141,50,15,400,SUP-1003,Slot Systems Limited,Nigeria,6,2026-05-26,359001.29,495888.5,55645199.95,NGN,2026-05-16,2026-06-08,,In Stock,No
PRD-00869,BRO-PRN-0017,2953774037676,Brother DCP-T720DW,Brother,Printers,Multifunction,Each,Active,Lagos Distribution Centre,LAG-DC,E-19-S4,E,S4,BT-980081,LOT-A9231,81,31,50,10,5,100,SUP-1006,Shenzhen Globex Electronics,China,35,2025-05-22,423682.7,650978.04,34318298.7,NGN,2026-06-12,2025-06-01,,In Stock,No
PRD-01759,SAM-MOB-0058,2102387288073,Samsung Galaxy A54,samsung,Mobile Phones,Tablets,Each,Active,Abuja RW,ABJ-RW,B-05-S8,B,S8,BT-735374,LOT-B3533,154,45,109,25,10,250,SUP-1007,Guangzhou Sunrise Trading,China,31,2025-02-10,320347.05,455695.14,49333445.7,NGN,2026-06-27,2025-02-16,,In Stock,No
PRD-02448,MSF-FUR-0059,7943193667116,Microsoft Adjustable Desk Riser,Microsoft,Office Furniture,Seating,Each,Active,Port Harcourt Distribution Centre,PHC-DC,D-23-S6,D,S6,BT-973389,LOT-C6919,123,37,86,60,24,480,SUP-1003,Slot Systems Limited,Nigeria,2,2025-04-24,76170.33,112474.15,9368950.59,NGN,2026-06-01,2025-04-28,,In Stock,No
PRD-03391,APC-ELC-0143,4203667148201,APC Power Strip 8-Outlet,APC,Electrical Components,Lighting,Each,Active,Port Harcourt Distribution Centre,PHC-DC,D-15-S8,D,S8,BT-533829,LOT-C4209,14,2,12,10,5,100,SUP-1012,,Nigeria,9,2025-06-02,17992.92,26306.81,251900.88,NGN,2026-06-26,2025-06-17,,In Stock,No
PRD-00806,CAN-PRN-0023,1324659866932,Canon imageCLASS MF445dw,Canon,Printers,Inkjet Printers,Each,Active,Lagos Distribution Centre,LAG-DC,D-37-S9,D,S9,BT-830742,LOT-A3433,55,6,49,15,4,90,SUP-1001,TD Africa Distribution Ltd,Nigeria,5,02/03/2025,87868.51,127284.84,4832768.05,NGN,2026-06-08,2025-03-16,,In Stock,No
