Product_ID,Product_Name,Category,Sub_Category,Standard_Price,Cost_Price,Stock_Quantity,Unit_Of_Measure,SKU,Is_Active
PRD-001,HP Laptop 15s,Electronics,Computers & Laptops,379000,235855,45,Piece,TM-PRD-001,Yes
PRD-002,Dell Inspiron 14,Electronics,Computers & Laptops,429000,224797,40,Piece,TM-PRD-002,Yes
PRD-003,Lenovo ThinkPad E14,Electronics,Computers & Laptops,510000,287642,35,Piece,TM-PRD-003,Yes
PRD-004,"Samsung 24"" Monitor",Electronics,Monitors & Displays,115000,63907,60,Piece,TM-PRD-004,Yes
PRD-005,"LG 27"" 4K Monitor",Electronics,Monitors & Displays,185000,118000,45,Piece,TM-PRD-005,Yes
PRD-006,Canon PIXMA Printer,Electronics,Printers & Scanners,89000,55916,50,Piece,TM-PRD-006,Yes
PRD-007,HP LaserJet Pro,Electronics,Printers & Scanners,145000,96099,40,Piece,TM-PRD-007,Yes
PRD-008,Epson EcoTank L3250,Electronics,Printers & Scanners,115000,61400,55,Piece,TM-PRD-008,Yes
PRD-009,Logitech MX Master 3,Electronics,Peripherals,32000,18800,120,Piece,TM-PRD-009,Yes
PRD-010,Microsoft Arc Mouse,Electronics,Peripherals,24000,12594,150,Piece,TM-PRD-010,Yes
PRD-011,Logitech K380 Keyboard,Electronics,Peripherals,18500,10267,200,Piece,TM-PRD-011,Yes
PRD-012,Rapoo E9050G Keyboard,Electronics,Peripherals,14000,8412,180,Piece,TM-PRD-012,Yes
PRD-013,TP-Link Archer AX23 Router,Electronics,Networking,62000,32503,70,Piece,TM-PRD-013,Yes
PRD-014,D-Link DIR-825 Router,Electronics,Networking,38000,20969,90,Piece,TM-PRD-014,Yes
PRD-015,Logitech C920 Webcam,Electronics,Peripherals,42000,26207,80,Piece,TM-PRD-015,Yes
PRD-016,Jabra Evolve2 Headset,Electronics,Audio,75000,45539,60,Piece,TM-PRD-016,Yes
PRD-017,Samsung 1TB SSD,Electronics,Storage,58000,32206,100,Piece,TM-PRD-017,Yes
PRD-018,Seagate 2TB External HDD,Electronics,Storage,38500,23650,120,Piece,TM-PRD-018,Yes
PRD-019,UPS Powercom 650VA,Electronics,Power Solutions,28000,18186,80,Piece,TM-PRD-019,Yes
PRD-020,Eaton 1500VA UPS,Electronics,Power Solutions,65000,33868,50,Piece,TM-PRD-020,Yes
PRD-021,Ergonomic Office Chair,Furniture,Seating,85000,55159,30,Piece,TM-PRD-021,Yes
PRD-022,Executive High-Back Chair,Furniture,Seating,145000,91597,20,Piece,TM-PRD-022,Yes
PRD-023,Mesh Task Chair,Furniture,Seating,62000,35615,40,Piece,TM-PRD-023,Yes
PRD-024,L-Shaped Office Desk,Furniture,Desks & Tables,120000,65385,25,Piece,TM-PRD-024,Yes
PRD-025,Standing Desk Converter,Furniture,Desks & Tables,95000,63950,20,Piece,TM-PRD-025,Yes
PRD-026,Executive Office Desk,Furniture,Desks & Tables,185000,106163,15,Piece,TM-PRD-026,Yes
PRD-027,4-Drawer Filing Cabinet,Furniture,Storage & Filing,72000,38508,20,Piece,TM-PRD-027,Yes
PRD-028,Steel Storage Cabinet,Furniture,Storage & Filing,95000,50870,15,Piece,TM-PRD-028,Yes
PRD-029,Glass Top Conference Table,Furniture,Meeting Room,280000,183568,8,Piece,TM-PRD-029,Yes
